objectID,footprint,area,height,label,data,index
2493,2105.0,6141.1489,20.0,0,../data/data_root/data00/2493.pt,2493
2498,1983.0,3309.01629375,17.0,0,../data/data_root/data00/2498.pt,2498
2505,2009.0,8234.5756625,22.51,0,../data/data_root/data00/2505.pt,2505
2512,2359.0,8388.6421875,23.97,0,../data/data_root/data00/2512.pt,2512
2516,3378.0,5001.33575,27.11,0,../data/data_root/data00/2516.pt,2516
2532,3015.0,6901.5819,13.48,0,../data/data_root/data00/2532.pt,2532
2536,2502.0,8565.24475,11.44,0,../data/data_root/data00/2536.pt,2536
2540,2140.0,7436.522274023438,20.93,0,../data/data_root/data00/2540.pt,2540
2542,1766.0,5923.022598046875,11.72,0,../data/data_root/data00/2542.pt,2542
2544,1604.0,3115.39188125,17.17,0,../data/data_root/data00/2544.pt,2544
2558,1966.0,3569.129846875,19.44,0,../data/data_root/data00/2558.pt,2558
2576,3185.0,3249.24265,29.77,0,../data/data_root/data00/2576.pt,2576
2582,1834.0,8249.948975,9.3,0,../data/data_root/data00/2582.pt,2582
2590,2770.0,6805.39055,12.58,0,../data/data_root/data00/2590.pt,2590
2593,1577.0,6740.5736,15.94,0,../data/data_root/data00/2593.pt,2593
2598,2290.0,8680.72465,40.77,0,../data/data_root/data00/2598.pt,2598
2599,3141.0,3676.503009375,20.08,0,../data/data_root/data00/2599.pt,2599
2601,1857.0,3295.57485,16.51,0,../data/data_root/data00/2601.pt,2601
2604,3222.0,8231.2233,23.72,0,../data/data_root/data00/2604.pt,2604
2607,2635.0,6114.79505,12.13,0,../data/data_root/data00/2607.pt,2607
2609,2262.0,5884.45525,23.08,0,../data/data_root/data00/2609.pt,2609
2624,2895.0,8807.39555,17.44,0,../data/data_root/data00/2624.pt,2624
2637,1633.0,5425.07375,14.59,0,../data/data_root/data00/2637.pt,2637
2638,2048.0,6136.262071875,18.18,0,../data/data_root/data00/2638.pt,2638
2640,2841.0,7419.231615625,23.53,0,../data/data_root/data00/2640.pt,2640
2653,2644.0,5601.6252,22.12,0,../data/data_root/data00/2653.pt,2653
2664,1868.0,3604.157615625,25.83,0,../data/data_root/data00/2664.pt,2664
2686,3045.0,4546.8521,25.31,0,../data/data_root/data00/2686.pt,2686
2693,2525.0,3967.1466,20.11,0,../data/data_root/data00/2693.pt,2693
2699,2080.0,3017.22365,18.36,0,../data/data_root/data00/2699.pt,2699
2706,3871.0,5463.498284375,34.69,0,../data/data_root/data00/2706.pt,2706
2711,2417.0,2984.67363125,15.04,0,../data/data_root/data00/2711.pt,2711
2726,2025.0,6744.36595,15.33,0,../data/data_root/data00/2726.pt,2726
2734,2165.0,6470.7905,15.48,0,../data/data_root/data00/2734.pt,2734
2762,2770.0,6981.1894,23.46,0,../data/data_root/data00/2762.pt,2762
2764,2841.0,6926.3935,17.85,0,../data/data_root/data00/2764.pt,2764
2765,3116.0,9739.94785,26.17,0,../data/data_root/data00/2765.pt,2765
2766,2414.0,8513.765359570312,28.51,0,../data/data_root/data00/2766.pt,2766
2770,2406.0,253492.3728611328,20.27,0,../data/data_root/data00/2770.pt,2770
2771,2681.0,6728.3076,15.61,0,../data/data_root/data00/2771.pt,2771
2802,2072.0,6145.61985,25.28,0,../data/data_root/data00/2802.pt,2802
2805,2902.0,5450.9984,23.13,0,../data/data_root/data00/2805.pt,2805
2819,2681.0,3743.491696875,16.79,0,../data/data_root/data00/2819.pt,2819
2823,5053.0,15341.71145,18.04,0,../data/data_root/data00/2823.pt,2823
2839,2523.0,3705.83234375,23.4,0,../data/data_root/data00/2839.pt,2839
2846,2179.0,5001.52615,24.0,0,../data/data_root/data00/2846.pt,2846
2884,3032.0,6800.81825,17.53,0,../data/data_root/data00/2884.pt,2884
2893,2114.0,6348.2684,11.63,0,../data/data_root/data00/2893.pt,2893
2894,2269.0,5579.2849,18.98,0,../data/data_root/data00/2894.pt,2894
2895,2483.0,5692.91965,10.4,0,../data/data_root/data00/2895.pt,2895
2902,4022.0,6862.05315,24.79,0,../data/data_root/data00/2902.pt,2902
2913,2496.0,6920.555,13.7,0,../data/data_root/data00/2913.pt,2913
2914,1911.0,9837.5103,13.33,0,../data/data_root/data00/2914.pt,2914
2919,2216.0,6077.7477,10.55,0,../data/data_root/data00/2919.pt,2919
2932,3613.0,9712.342674414063,24.79,0,../data/data_root/data00/2932.pt,2932
2936,3132.0,7178.3924,25.36,0,../data/data_root/data00/2936.pt,2936
2937,2609.0,7227.07295,11.8,0,../data/data_root/data00/2937.pt,2937
2938,2469.0,6656.5298,15.64,0,../data/data_root/data00/2938.pt,2938
2939,2179.0,7182.5308,14.18,0,../data/data_root/data00/2939.pt,2939
2942,2924.0,5450.4787,14.74,0,../data/data_root/data00/2942.pt,2942
2943,2669.0,5696.274,17.57,0,../data/data_root/data00/2943.pt,2943
2979,2447.0,8211.9953,17.7,0,../data/data_root/data00/2979.pt,2979
3002,3106.0,5140.81595,32.01,0,../data/data_root/data00/3002.pt,3002
3028,1826.0,6152.99589375,23.33,0,../data/data_root/data00/3028.pt,3028
3041,1879.0,6150.95395,10.95,0,../data/data_root/data00/3041.pt,3041
3048,2421.0,5413.19935,24.08,0,../data/data_root/data00/3048.pt,3048
3059,2789.0,7051.73305,25.46,0,../data/data_root/data00/3059.pt,3059
3061,4083.0,18190.40125,29.99,0,../data/data_root/data00/3061.pt,3061
3062,4195.0,18951.2756,27.93,0,../data/data_root/data00/3062.pt,3062
3064,3805.0,8678.465053125,15.82,0,../data/data_root/data00/3064.pt,3064
3065,3042.0,7975.042324609375,17.13,0,../data/data_root/data00/3065.pt,3065
3078,1649.0,3116.1099,14.98,0,../data/data_root/data00/3078.pt,3078
3095,1940.0,5413.1774375,17.43,0,../data/data_root/data00/3095.pt,3095
3098,1932.0,6748.704403125,24.25,0,../data/data_root/data00/3098.pt,3098
3126,1979.0,5005.7842,26.2,0,../data/data_root/data00/3126.pt,3126
3146,2495.0,5576.39665,11.3,0,../data/data_root/data00/3146.pt,3146
3173,3275.0,5846.61355,13.15,0,../data/data_root/data00/3173.pt,3173
3196,1954.0,5426.2377125,11.52,0,../data/data_root/data00/3196.pt,3196
3198,2043.0,5426.825278125,26.04,0,../data/data_root/data00/3198.pt,3198
3215,2801.0,4137.00515,15.61,0,../data/data_root/data00/3215.pt,3215
3216,1779.0,6794.773471875,17.01,0,../data/data_root/data00/3216.pt,3216
3233,2083.0,8096.551865625,27.52,0,../data/data_root/data00/3233.pt,3233
3244,2465.0,6803.34888125,24.59,0,../data/data_root/data00/3244.pt,3244
3264,2194.0,6041.37865,20.06,0,../data/data_root/data00/3264.pt,3264
3271,2215.0,9982.003546875,21.38,0,../data/data_root/data00/3271.pt,3271
3274,3316.0,8344.4902,22.99,0,../data/data_root/data00/3274.pt,3274
3276,1770.0,3266.44294375,14.75,0,../data/data_root/data00/3276.pt,3276
3277,2442.0,4673.601678125,15.27,0,../data/data_root/data00/3277.pt,3277
3296,3180.0,6201.607815625,18.64,0,../data/data_root/data00/3296.pt,3296
3306,2201.0,5423.836096875,20.07,0,../data/data_root/data00/3306.pt,3306
3345,2041.0,5425.14875625,16.08,0,../data/data_root/data00/3345.pt,3345
3348,2357.0,5253.3572,16.11,0,../data/data_root/data00/3348.pt,3348
3349,1679.0,4400.51719375,23.59,0,../data/data_root/data00/3349.pt,3349
3377,1809.0,1753.06109375,14.1,0,../data/data_root/data00/3377.pt,3377
3380,2038.0,4183.844203125,16.58,0,../data/data_root/data00/3380.pt,3380
3421,2253.0,5043.661140625,17.85,0,../data/data_root/data00/3421.pt,3421
3444,2485.0,6606.840084179687,18.16,0,../data/data_root/data00/3444.pt,3444
3482,2272.0,13219.485625,28.94,0,../data/data_root/data00/3482.pt,3482
3489,1745.0,6776.0705,23.53,0,../data/data_root/data00/3489.pt,3489
3495,2790.0,12671.5993375,16.32,0,../data/data_root/data00/3495.pt,3495
3517,2591.0,5426.32465,14.4,0,../data/data_root/data00/3517.pt,3517
3542,2521.0,7485.2890375,21.5,0,../data/data_root/data00/3542.pt,3542
3547,2821.0,7835.2487,25.32,0,../data/data_root/data00/3547.pt,3547
3555,1931.0,5281.773540625,13.34,0,../data/data_root/data00/3555.pt,3555
3575,1900.0,6447.628,16.03,0,../data/data_root/data00/3575.pt,3575
3611,2706.0,5367.7238,10.78,0,../data/data_root/data00/3611.pt,3611
3612,2649.0,5772.40959375,10.35,0,../data/data_root/data00/3612.pt,3612
3628,3186.0,5425.927478125,18.19,0,../data/data_root/data00/3628.pt,3628
3639,2158.0,5425.14885,18.06,0,../data/data_root/data00/3639.pt,3639
3641,1597.0,4182.624490625,16.6,0,../data/data_root/data00/3641.pt,3641
3667,1880.0,4271.56098125,22.47,0,../data/data_root/data00/3667.pt,3667
3676,3137.0,5712.0965875,28.22,0,../data/data_root/data00/3676.pt,3676
3717,2972.0,5095.403865625,17.12,0,../data/data_root/data00/3717.pt,3717
3736,1959.0,3363.97435,23.13,0,../data/data_root/data00/3736.pt,3736
3752,1735.0,5132.117825,15.5,0,../data/data_root/data00/3752.pt,3752
3757,2030.0,3105.1733,13.73,0,../data/data_root/data00/3757.pt,3757
3779,2555.0,5878.91749375,13.13,0,../data/data_root/data00/3779.pt,3779
3794,2112.0,5372.01165,20.68,0,../data/data_root/data00/3794.pt,3794
3797,2343.0,6505.2157,16.1,0,../data/data_root/data00/3797.pt,3797
3801,2395.0,6029.823,16.43,0,../data/data_root/data00/3801.pt,3801
