,index
1891,530199
1892,530205
1893,530206
1894,530207
1896,530215
1897,530217
1898,530220
1899,530224
1900,530226
1901,530229
1902,530231
1903,530233
1905,530236
1906,530237
1907,530238
1909,530245
1911,530249
1912,530251
1913,530254
1914,530255
1915,530256
1916,530257
1918,530263
1919,530274
1920,530276
1921,530281
1922,530283
1923,530284
1924,530286
1925,530289
1926,530290
1927,530292
1928,530295
1930,530299
1932,530302
1933,530304
1934,530306
1935,530307
1936,530309
1937,530376
1938,530379
1939,530381
1940,530382
1941,530384
1942,530385
1943,530386
1944,530387
1945,530388
1946,530389
1947,530390
1948,530391
1949,530393
1950,530394
1952,530396
1953,530398
1954,530399
1955,530404
1957,530409
1958,530411
1960,530414
1961,530415
1962,530417
1963,530421
1964,530422
1966,530424
1969,530430
1970,530432
1971,530438
1972,530439
1974,530441
1975,530443
1976,530448
1977,530449
1981,530457
1982,530459
1983,530461
1984,530462
1986,530466
1987,530467
1988,530469
1989,530471
1990,530473
1991,530475
1992,530478
1993,530482
1994,530483
1995,530496
1996,530498
1997,530510
1998,530513
2000,530517
2001,530519
2002,530524
2003,530535
2004,530539
2005,530543
2007,530564
2008,530565
2009,530568
2010,530570
2011,530574
2012,530575
2013,530576
2014,530577
2016,530580
2017,530585
2019,530587
2020,530589
2021,530590
2023,530592
2024,530593
2025,530596
2026,530605
2027,530609
2028,530613
2031,530623
2032,530624
2033,530630
2034,530634
2035,530635
2036,530644
2037,530645
2038,530649
2040,530653
2041,530658
2043,530666
2044,530669
2045,530671
2046,530676
2047,530677
2048,530678
2049,530680
2050,530682
2051,530685
2052,530689
2053,530691
2055,530694
2056,530739
2057,530742
2058,530743
2061,530750
2062,530753
2066,530758
2067,530759
2068,530765
2070,530768
2071,530770
2073,530775
2074,530776
2075,530777
2076,530783
2077,530786
2078,530787
2079,530791
2080,530792
2081,530793
2082,530796
2083,530797
2084,530798
2085,530801
2086,530805
2089,530812
2090,530815
2091,530817
2092,530818
2093,530822
2095,530830
2097,530834
2098,530836
2100,530839
2101,530840
2102,530841
2103,530842
2104,530843
2105,530846
2106,530847
2107,530851
2108,530852
2110,530857
2112,530867
2114,530870
2115,530872
2116,530873
2117,530874
2118,530877
2119,530879
2120,530881
2121,530882
2123,530885
2124,530888
2125,530892
2126,530894
2127,530895
2128,530896
2129,530898
2130,530899
2133,530904
2134,530909
2135,530910
2136,530912
2137,530916
2138,530917
2139,530919
2140,530921
2142,530924
2144,530926
2145,530927
2146,530928
2147,530929
2151,530938
2152,530939
2156,530946
2157,530947
2158,530948
2159,530949
2160,530950
2161,530951
2162,530952
2163,530953
2164,530954
2165,530955
2166,530956
2167,530957
2168,530958
2169,530959
2170,530962
2171,530964
2172,530968
2173,530969
2174,530970
2177,530973
2179,530977
2180,530979
2181,530980
2182,530985
2184,531007
2186,531011
2187,531012
2188,531013
2192,531019
2193,531023
2194,531026
2195,531031
2196,531032
2197,531033
2198,531035
2199,531040
2201,531042
2203,531045
2204,531046
2205,531047
2207,531050
2208,531056
2209,531058
2210,531059
2211,531060
2212,531061
2215,531065
2216,531066
2217,531067
2218,531068
2221,531073
2222,531074
2223,531079
2225,531090
2226,531091
2227,531092
2228,531094
2229,531095
2230,531097
2232,531100
2234,531104
2235,531105
2236,531106
2237,531108
2238,531111
2239,531112
2240,531113
2241,531115
2242,531120
2243,531124
2244,531127
2246,531131
2247,531132
2248,531133
2249,531134
2250,531136
2251,531138
2252,531140
2253,531142
2254,531144
2256,531184
2257,531186
2258,531213
2261,531370
2263,531374
2268,531380
2270,531382
2271,531383
2272,531384
2273,531386
2274,531387
2276,531393
2277,531394
2280,531469
2281,531472
2283,531481
2285,531490
2289,531496
2290,531497
2291,531498
2292,531500
2293,531502
2295,531512
2296,531513
2298,531516
2299,531518
2301,531629
2302,531630
2303,531633
2304,531638
2305,531639
2306,531640
2307,531641
2309,531650
2311,531653
2312,531855
2313,531857
2314,531858
2315,531860
2317,531864
2318,531865
2319,531866
2320,531867
2321,531868
2323,531872
2324,531873
2326,531882
2327,531883
2328,531887
2329,531888
2330,531889
2332,531921
2333,531923
2334,531942
2335,531957
2336,531959
2337,531963
2338,531964
2340,531970
2342,531980
2343,531981
2344,531982
2346,531984
2348,531988
2349,531989
2350,531992
2351,531993
2352,531995
2353,531997
2354,531998
2355,532001
2356,532003
2357,532007
2360,532018
2361,532021
2362,532022
