,index
1406,16861
1407,16862
1408,16867
1410,16870
1411,16871
1412,16873
1413,16876
1414,16877
1415,16878
1416,16883
1417,16884
1418,16885
1419,16887
1420,16888
1421,16889
1423,16890
1424,16891
1425,16892
1426,16893
1427,16894
1428,16895
1429,16896
1430,169
1432,16901
1433,16903
1434,16905
1435,16906
1436,16908
1437,16909
1439,16910
1440,16911
1441,16917
1442,16919
1443,16921
1444,16924
1445,16928
1446,1693
1447,16930
1448,16931
1449,16933
1450,16935
1451,16936
1452,16938
1453,16939
1454,16940
1455,16941
1456,16942
1457,16943
1458,16944
1459,16945
1460,16947
1461,16948
1462,16950
1463,16952
1464,16953
1465,16956
1466,16957
1467,16958
1468,16960
1469,16963
1470,16964
1471,16965
1472,16966
1473,16967
1474,16968
1475,16969
1476,16970
1477,16971
1478,16973
1479,16974
1480,16975
1481,16976
1482,16977
1483,16978
1484,16980
1485,16982
1486,16984
1487,16988
1488,16989
1489,16990
1490,16991
1491,16993
1492,16994
1493,16995
1494,16996
1495,16997
1496,16999
1498,17000
1499,17002
1500,17006
1501,17007
1502,17011
1503,17012
1504,17013
1505,17014
1506,17015
1507,17017
1508,17018
1509,17019
1510,17021
1511,17022
1512,17023
1513,17024
1514,17025
1515,17026
1516,17027
1517,17030
1518,17032
1519,17033
1520,17035
1521,17037
1522,17038
1523,17040
1524,17041
1525,17042
1526,17044
1527,17046
1528,17047
1529,17048
1530,17050
1531,17051
1532,17052
1533,17054
1534,17056
1535,17057
1536,17058
1537,17059
1538,17060
1539,17061
1540,17062
1541,17063
1542,17067
1543,17068
1544,17072
1545,17074
1546,17077
1547,17080
1548,17081
1549,17082
1550,17083
1551,17085
1552,17086
1553,17087
1554,17088
1555,17089
1556,17093
1557,17094
1558,17095
1559,17099
1560,17100
1561,17101
1562,17102
1563,17103
1564,17104
1565,17105
1566,17107
1567,17109
1568,17110
1569,17112
1570,17113
1571,17114
1572,17115
1573,17117
1574,17118
1575,17120
1576,17121
1577,17122
1578,17123
1579,17127
1580,17130
1581,17131
1582,17132
1583,17133
1584,17135
1585,17137
1586,17138
1587,17139
1588,17141
1589,17142
1590,17144
1591,17145
1592,17147
1593,17148
1594,17150
1595,17152
1596,17153
1597,17156
1598,17157
1599,17158
1600,17159
1601,17160
1602,17163
1603,17164
1604,17165
1605,17167
1606,17168
1607,17169
1608,17176
1609,17179
1610,17180
1611,17182
1612,17183
1613,17184
1614,17185
1615,17187
1616,17188
1617,17192
1618,17193
1619,17195
1620,17196
1621,17198
1622,17199
1623,17201
1625,17204
1628,17209
1629,17210
1630,17211
1631,17212
1632,17213
1633,17214
1634,17216
1635,17217
1636,17218
1637,17220
1638,17223
1639,17227
1640,17228
1641,17229
1642,17230
1643,17231
1644,17233
1645,17234
1646,17235
1647,17236
1648,17237
1649,17238
1650,17240
1651,17241
1652,17242
1653,17243
1654,17244
1657,17248
1658,17249
1659,17251
1660,17252
1661,17253
1662,17254
1665,17259
1667,17261
1668,17262
1669,17263
1670,17265
1671,17267
1672,17269
1673,17271
1674,17272
1675,17273
1676,17275
1677,17276
1678,17278
1679,17279
1680,17281
1681,17282
1682,17284
1683,17285
1684,17286
1685,17287
1686,17289
1687,17290
1688,17292
1689,17294
1690,17296
1691,17298
1693,17301
1694,17302
1695,17304
1696,17305
1697,17310
1698,17312
1699,17314
1700,17317
1701,17319
1702,17321
1703,17323
1704,17324
1705,17326
1706,17327
1707,17328
1708,17329
1709,17330
1710,17332
1711,17333
1712,17334
1713,17335
1714,17336
1715,17337
1716,17338
1717,17342
1718,17343
1719,17344
1720,17346
1721,17347
1722,17348
1723,17349
1724,17350
1725,17351
1726,17358
1727,17359
1728,17360
1729,17362
1730,17363
1731,17367
1732,17368
1733,17369
1734,17370
1735,17372
1742,17385
1743,17388
1744,17390
1745,17391
1746,17392
1747,17393
1748,17394
1749,17395
1750,17396
1751,17398
1752,17400
1753,17401
1754,17402
1755,17405
1756,17408
1757,17411
1758,17413
1759,17414
1760,17416
1761,17420
1762,17421
1763,17422
1764,17423
1765,17425
1769,17433
1770,17436
1771,17438
1772,17439
1774,17440
1775,17441
1776,17442
1777,17445
1778,17446
1779,17447
1780,17448
1781,17449
1782,1745
1783,17450
1784,17451
1785,17455
1786,17456
1787,17457
1788,17458
1789,17459
1790,17460
1791,17462
1792,17463
1793,17464
1797,17469
1799,17473
1800,17475
1801,17476
1809,17489
1811,17491
1812,17496
1814,17499
1815,175
1816,17501
1817,17502
1818,17503
1819,17505
1820,17506
1821,17507
1822,17513
1824,17518
1825,17519
1826,17520
1829,17524
1830,17526
1831,17528
1832,17533
1833,17536
1834,17538
1835,17539
1836,17540
1837,17541
1838,17542
1839,17543
1842,17548
1844,17552
1845,17553
1846,17554
1847,17557
1848,17560
1849,17561
1850,17562
1851,17563
1852,17565
1853,17566
1854,17569
1856,17572
1857,17573
1858,17574
1859,17575
1860,17576
1861,17577
1862,17578
1866,17584
1867,17586
1868,17587
1869,17589
1870,17590
1871,17592
1872,17594
1873,17595
1874,17597
1875,17599
1876,17600
1877,17601
1878,17602
1879,17603
1880,17604
1881,17605
1882,17606
1883,17607
1884,17611
1885,17613
1886,17614
1887,17616
1888,17617
1889,17618
1890,17619
1891,17621
1892,17622
1893,17623
1894,17625
1895,17629
1896,17630
1897,17631
1898,17632
1901,17640
1902,17641
1903,17643
1904,17644
1905,17645
1906,17646
1907,17647
1908,17648
1909,17650
1910,17653
1911,17654
1912,17655
1914,17657
1915,17660
1916,17661
1917,17662
1919,17664
1920,17666
1921,17668
1922,17669
1923,17671
1924,17673
1925,17674
1926,17675
1927,17677
1928,17678
1929,17680
1930,17681
1931,17683
1933,17688
1935,17690
1936,17693
1937,17694
1938,17698
1939,17699
1940,177
1941,17701
1942,17702
1944,17705
1945,17706
1946,17708
1947,17709
1948,17710
1949,17712
1950,17713
1951,17714
1952,17718
1954,17728
1955,17729
1956,17730
1957,17731
1958,17732
1959,17735
1960,17736
1961,17737
1962,17741
1963,17745
1964,17746
1965,17747
1966,17748
1967,17755
1968,17757
1969,17760
1970,17761
1971,17762
1972,17763
1973,17764
1974,17765
1975,17766
1976,17767
1977,17768
1980,17771
1981,17772
1982,17773
1983,17774
1984,17775
1985,17776
1986,17778
1988,17783
1989,17784
1990,17785
1991,17786
1992,17789
1993,17790
1994,17791
1995,17792
1997,17798
1998,17799
1999,17805
2000,17806
2001,17807
2002,17808
2003,17810
2004,17812
2005,17813
2006,17815
2007,17816
2008,17818
2009,17820
2010,17821
2011,17823
2012,17824
2013,17825
2014,17826
2015,17827
2016,17828
2017,17829
2018,17830
2019,17831
2020,17832
2021,17833
2022,17836
2023,17838
2024,17839
2025,17840
2026,17843
2027,17845
2028,17846
2029,17849
2031,17854
2033,17857
2038,17867
2039,17868
2040,17870
2042,17875
2043,17876
2044,17881
2045,17882
2046,17883
2047,17884
2048,17885
2049,17887
2050,17888
2052,17890
2053,17893
2055,17896
2056,17898
2057,17899
2059,17904
2060,17907
2061,17908
2062,17909
2063,17911
2064,17912
2065,17914
2067,17919
2068,17920
2076,17937
2077,17938
2078,17939
2079,17940
2081,17942
2083,17944
2084,17945
2085,17947
2086,17948
2087,17949
2088,17952
2089,17953
2090,17956
2093,17963
2094,17964
2095,17965
2096,17966
2100,17973
2101,17974
2102,17975
2103,17976
2104,17977
2105,17978
2106,17980
2107,17981
2108,17984
2109,17989
2110,17991
2111,17992
2112,17993
2114,17996
2115,17997
2118,18003
2122,18010
2123,18014
2124,18015
2125,18016
2126,18018
2127,18019
2128,18020
2129,18021
2130,18023
2131,18024
2132,18025
2133,18026
2135,18031
2137,18034
2139,18038
2140,18040
2141,18042
2142,18044
2143,18047
2144,18048
2145,18049
2146,18050
2147,18051
2148,18053
2149,18054
2150,18056
2151,18057
2152,18058
2153,18059
2154,18061
2155,18064
2156,18075
2157,18076
2158,18077
2159,18078
2160,18079
2162,18080
2164,18087
2165,18089
2166,18090
2167,18093
2168,18094
2169,18095
2170,18096
2171,18097
2172,18098
2174,181
2175,18102
2178,18107
2179,18109
2180,18111
2181,18113
2182,18114
2183,18115
2184,18116
2185,18117
2186,18119
2187,18124
2188,18125
2189,18126
2190,18127
2193,18136
2194,18137
2195,18138
2196,18139
2197,18140
2198,18142
2199,18145
2200,18151
2201,18152
2202,18156
2205,18160
2207,18162
2208,18165
2209,18166
2214,18172
2219,18178
2220,18179
2221,18180
2222,18182
2223,18183
2224,18184
2225,18185
2226,18188
2227,18193
2228,18195
2229,18196
2230,18197
2231,18198
2232,18199
2233,182
2234,18201
2235,18202
2236,18204
2237,18205
2238,18207
2239,18213
2240,18215
2241,18216
2243,18219
2244,18220
2245,18224
2246,18237
2247,18238
2248,18241
2249,18242
2250,18243
2251,18244
2252,18246
2253,18247
2254,18248
2255,18249
2256,18251
2257,18257
