,index
6846,3291
6847,3292
6849,3296
6850,3298
6851,3302
6852,3304
6854,3306
6855,3308
6856,3310
6857,3311
6858,3312
6859,3316
6860,3318
6861,3319
6862,3320
6863,3321
6865,3324
6866,3327
6867,3330
6868,3332
6871,3335
6872,3337
6873,3339
6874,3340
6875,3342
6877,3344
6878,3347
6879,3348
6880,3351
6881,3352
6884,3359
6885,3363
6886,3365
6887,3366
6888,337
6889,3370
6890,3371
6891,3372
6892,3379
6893,338
6894,3382
6896,3384
6897,3388
6898,339
6900,3392
6901,3394
6902,3397
6905,3401
6907,3403
6911,3417
6916,3427
6918,3429
6919,3430
6920,3432
6921,3434
6922,3435
6924,3438
6925,3439
6926,3440
6927,3441
6928,3442
6929,3443
6931,3453
6933,3456
6936,3462
6937,3464
6938,3465
6939,3468
6941,3470
6942,3473
6943,3479
6944,3480
6945,3481
6946,3482
6948,3484
6949,3485
6952,3490
6953,3491
6955,3496
6956,3499
6958,3500
6959,3505
6961,3513
6962,3514
6963,3516
6964,3519
6965,3521
6967,3524
6968,3525
6970,3529
6971,353
6972,3530
6974,3532
6976,3535
6978,3537
6980,3541
6981,3543
6984,3548
6988,3555
6989,3556
6990,3557
6991,3560
6992,3561
6993,3563
6994,3569
6996,3573
6998,3577
6999,3578
7000,3585
7002,3589
7003,3592
7007,3601
7008,3603
7009,3604
7011,3606
7013,3620
7015,3623
7017,3628
7018,3629
7020,3633
7021,3635
7023,3639
7024,364
7025,3641
7026,3644
7027,3645
7028,3647
7029,365
7030,3655
7031,3656
7032,3657
7034,366
7035,3664
7036,3665
7037,3667
7038,3668
7040,367
7042,3673
7043,3676
7044,3677
7047,3682
7048,3685
7051,3694
7053,3699
7055,3701
7058,3706
7059,3707
7063,3713
7066,3718
7067,3720
7080,3742
7081,3754
7085,3762
7086,3763
7089,3771
7090,3772
7091,3774
7095,3779
7096,3780
7097,3782
7100,3787
7101,3788
7103,3791
7104,3796
7105,3797
7106,3801
7110,3808
7115,382
7117,3821
7118,3849
7120,3856
7121,3857
7122,3858
7127,3917
7128,3922
7129,3923
7131,3934
7133,3946
7148,4012
7149,4013
7151,4015
7152,4020
7154,4028
7156,4030
7157,4034
7162,4045
7163,4047
7164,4048
7165,4049
7166,4050
7167,4052
7170,4062
7173,4070
7174,4071
7180,4080
7186,4090
7187,4092
7188,4094
7189,4095
7191,4098
7192,4099
7198,4107
7200,4109
7201,4111
7202,4112
7203,4114
7204,4117
7207,4124
7209,4126
7210,4129
7211,4130
7212,4131
7213,4135
7214,4136
7215,4138
7216,4139
7217,4143
7230,4167
7231,4170
7232,4172
7235,4176
7236,4181
7237,4183
7238,4187
7240,4198
7242,4201
7243,4202
7244,4205
7245,4207
7246,4209
7247,421
7248,4210
7250,4212
7252,4214
7253,4216
7254,4217
7255,4219
7258,4224
7259,4226
7265,4261
7266,427
7269,4282
7271,4284
7274,4289
7276,4298
7278,4303
7279,4305
7281,4307
7282,4311
7295,4329
7296,4330
7299,4336
7302,4339
7303,4340
7304,4341
7307,4351
7308,4353
7309,4355
7310,4356
7311,4359
7312,4360
7314,4363
7315,4364
7318,4370
7320,4372
7321,4373
7322,4376
7324,4380
7326,4384
7327,4385
7328,4386
7334,4394
7335,4395
7337,4398
7339,4411
7341,4414
7344,4419
7346,4420
7348,4423
7349,4426
7350,4427
7351,4428
7353,4430
7354,4431
7355,4432
7359,4437
7360,4438
7361,4439
7362,4441
7364,4446
7366,4448
7367,4449
7370,4457
7371,4458
7372,4461
7374,4466
7376,4469
7377,4474
7378,4475
7379,4476
7383,4482
7384,4483
7385,4484
7386,4486
7389,4492
7390,4494
7391,4495
7394,4500
7395,4502
7396,4503
7398,4517
7400,4521
7401,4527
7402,4528
7404,4530
7405,4532
7406,4534
7408,4536
7414,4542
7416,4547
7418,4550
7420,4552
7423,4565
7424,4566
7426,4570
7427,4572
7428,4574
7430,4576
7431,4577
7433,4580
7434,4583
7435,4584
7436,4586
7437,4587
7439,459
7440,4591
7444,4600
7445,4602
7446,4606
7447,4608
7448,4610
7451,4621
7452,4622
7453,4626
7454,4630
7458,4640
7459,4641
7460,4642
7461,4643
7462,4654
7466,4670
7467,4671
7475,4694
7480,4713
7482,4737
7483,4739
7485,4745
7486,4747
7489,4757
7490,4758
7492,4761
7494,4767
7495,4769
7496,4770
7498,4772
7499,4773
7500,4776
7501,4777
7502,4779
7503,4782
7505,4789
7510,4807
7511,4808
7513,4819
7515,4820
7516,4821
7517,4822
7518,4824
7521,4832
7523,4840
7526,4844
7528,4846
7529,4848
7530,4849
7531,4850
7535,4857
7536,4859
7538,4861
7540,4867
7541,487
7543,4871
7544,4873
7552,4892
7555,4905
7556,4906
7557,4907
7558,4909
7560,4912
7561,4913
7562,4914
7563,4925
7565,4929
7567,4931
7569,4934
7572,4937
7573,4938
7574,4939
7577,4971
7578,4973
7579,4974
7580,4977
7583,5019
7585,5021
7586,504
7587,509
7588,512
7590,52
7592,529
7595,554
7607,577
7608,578
7609,588
7611,600
7613,603
7615,610
7618,618
7619,619
7622,624
7623,628
7625,632
7626,636
7627,637
7630,658
7631,66
7633,664
7634,669
7635,67
