,OBJECTID
6993,2117668
6997,2117680
7001,2117693
7003,2117713
7004,2117716
7005,2117718
7009,2117727
7010,2117734
7013,2117738
7014,2117739
7016,2117749
7018,2117752
7021,2117782
7036,2117841
7037,2117842
7039,2117844
7042,2117850
7047,2117862
7048,2117864
7053,2117889
7059,2117918
7062,2117939
7063,2117940
7064,2117942
7065,2117943
7082,2117984
7090,2117999
7092,2118002
7093,2118003
7094,2118004
7096,2118007
7097,2118008
7098,2118010
7107,2118045
7109,2118051
7111,2118057
7118,2118095
7123,2118133
7126,2118148
7127,2118152
7157,2118232
7164,2118245
7171,2118253
7177,2118265
7181,2118271
7183,2118275
7185,2118277
7192,2118296
7195,2118300
7196,2118302
7198,2118304
7210,2118323
7214,2118331
7215,2118335
7217,2118339
7222,2118351
7223,2118354
7224,2118355
7229,2118363
7230,2118367
7231,2118368
7234,2118376
7238,2118386
7239,2118391
7240,2118403
7243,2118414
7245,2118423
7248,2118427
7263,2118479
7265,2118482
7267,2118490
7269,2118495
7271,2118501
7273,2118503
7274,2118507
7281,2118527
7286,2118539
7287,2118544
7288,2118547
7290,2118557
7295,2118568
7296,2118569
7299,2118576
7316,2118611
7317,2118612
7319,2118615
7320,2118616
7321,2118618
7322,2118620
7325,2118625
7326,2118635
7328,2118637
7331,2118645
7332,2118646
7333,2118649
7334,2118650
7363,2118716
7365,2118727
7366,2118730
7367,2118731
7369,2118735
7372,2118739
7373,2118740
7384,2118771
7385,2118773
7394,2118796
7395,2118798
7401,2118807
7403,2118810
7409,2118829
7411,2118832
7430,2118879
7433,2118896
7436,2118901
7458,2118953
7466,2119005
7468,2119026
7471,2119049
7474,2119055
7475,2119057
7476,2119061
7477,2119062
7478,2119067
7480,2119081
7481,2119084
7482,2119090
7483,2119091
7498,2119118
7509,2119142
7518,2119162
7529,2119185
7532,2119189
7533,2119191
7546,2119224
7548,2119227
7551,2119231
7581,2119274
7601,2119319
7602,2119321
7604,2119326
7606,2119328
7608,2119333
7609,2119337
7613,2119349
7614,2119350
7615,2119351
7621,2119366
7622,2119369
7627,2119395
7632,2119408
7635,2119411
7638,2119423
7642,2119428
7645,2119435
7646,2119438
7651,2119450
7654,2119453
7656,2119458
7663,2119475
7672,2119499
7673,2119501
7674,2119503
7676,2119509
7680,2119518
7686,2119526
7690,2119536
7696,2119554
7697,2119557
7700,2119563
7710,2119585
7724,2119617
7729,2119632
7742,2119672
7744,2119678
7747,2119686
7749,2119691
7751,2119696
7757,2119713
7761,2119733
7769,2119761
7784,2119851
7815,2119925
7816,2119928
7817,2119929
7820,2119932
7824,2119940
7828,2119947
7841,2119978
7842,2119980
7849,2120000
7852,2120003
7856,2120013
7859,2120020
7860,2120026
7866,2120037
7870,2120048
7873,2120060
7877,2120065
7879,2120069
7882,2120079
7883,2120084
7884,2120085
7886,2120087
7901,2120108
7907,2120121
7909,2120125
7917,2120149
7918,2120150
7919,2120152
7923,2120157
7935,2120206
7938,2120212
7939,2120213
7942,2120220
7949,2120235
7950,2120241
7951,2120242
7953,2120246
7954,2120251
7957,2120257
7958,2120258
7962,2120265
7964,2120269
7965,2120270
7969,2120276
7975,2120286
7979,2120298
7982,2120303
7987,2120316
7988,2120318
7991,2120324
7992,2120330
7995,2120335
7996,2120337
8000,2120347
8002,2120352
8006,2120368
8015,2120389
8018,2120392
8022,2120406
8023,2120409
8027,2120425
8028,2120429
8039,2120449
8040,2120452
8049,2120467
8079,2120513
8084,2120524
8085,2120525
8088,2120536
8091,2120539
8100,2120554
8106,2120565
8110,2120573
8117,2120586
8121,2120594
8134,2120620
8139,2120627
8150,2120647
8159,2120681
8160,2120692
8161,2120694
8162,2120695
8164,2120698
8166,2120704
8169,2120712
8177,2120728
8184,2120740
8185,2120742
8188,2120746
8192,2120757
8193,2120761
8194,2120762
8202,2120788
8213,2120815
8214,2120823
8215,2120824
8218,2120835
8219,2120839
8220,2120842
8221,2120847
8222,2120848
8224,2120850
8225,2120852
8227,2120858
8230,2120866
8231,2120871
8235,2120879
8236,2120880
8237,2120884
8240,2120890
8243,2120898
8245,2120909
8247,2120919
8250,2120925
8253,2120930
8262,2120952
8272,2120974
8282,2121002
8283,2121007
8284,2121009
8285,2121011
8286,2121012
8291,2121029
8292,2121036
8294,2121044
8296,2121046
8299,2121053
8301,2121058
8306,2121069
8307,2121071
8308,2121074
8310,2121076
8311,2121077
8312,2121078
8313,2121079
8315,2121083
8353,2121157
8354,2121160
8364,2121192
8365,2121195
8366,2121200
8367,2121202
8368,2121207
8369,2121208
8375,2121226
8377,2121233
8378,2121235
8384,2121249
8386,2121253
8387,2121255
8396,2121287
8399,2121299
8400,2121301
8401,2121305
8402,2121306
8403,2121309
8404,2121310
8405,2121311
8407,2121315
8408,2121319
8410,2121325
8411,2121326
8413,2121330
8415,2121333
8428,2121358
8432,2121369
8441,2121386
8445,2121390
8449,2121399
8450,2121401
8455,2121409
8458,2121418
8468,2121444
8503,2121499
8508,2121515
8514,2121534
8519,2121544
8523,2121556
8527,2121563
8528,2121565
8531,2121572
8532,2121573
8537,2121584
8541,2121593
8546,2121606
8547,2121607
8548,2121612
8549,2121617
8551,2121622
8564,2121668
8570,2121710
8571,2121712
8590,2121795
8592,2121802
8596,2121808
8598,2121815
8599,2121817
8600,2121818
8604,2121825
8608,2121834
8610,2121836
8614,2121846
8615,2121847
8642,2121895
8643,2121900
8645,2121903
8650,2121910
8663,2121936
8665,2121938
8667,2121946
8668,2121950
