,OBJECTID
1570,1047970
1571,1047975
1572,1047976
1573,1047977
1575,1047980
1576,1047984
1577,1047985
1578,1047987
1579,1047988
1580,1047991
1581,1047994
1582,1047999
1583,1048000
1584,1048001
1585,1048002
1586,1048003
1587,1048006
1588,1048008
1589,1048009
1590,1048011
1592,1048018
1593,1048020
1594,1048023
1595,1048024
1596,1048025
1597,1048026
1598,1048028
1600,1048030
1601,1048031
1602,1048032
1603,1048036
1604,1048038
1605,1048045
1606,1048046
1607,1048047
1608,1048051
1609,1048053
1610,1048054
1611,1048055
1612,1048057
1613,1048058
1614,1048059
1615,1048061
1616,1048063
1617,1048064
1618,1048068
1619,1048077
1621,1048080
1622,1048081
1624,1048085
1625,1048086
1626,1048094
1627,1048096
1628,1048097
1629,1048098
1630,1048100
1631,1048102
1632,1048104
1633,1048106
1634,1048107
1635,1048109
1636,1048113
1637,1048114
1638,1048120
1639,1048123
1640,1048124
1641,1048125
1642,1048126
1643,1048127
1644,1048128
1645,1048134
1646,1048142
1647,1048144
1648,1048146
1649,1048147
1650,1048148
1651,1048150
1652,1048160
1653,1048161
1654,1048163
1655,1048167
1656,1048172
1657,1048173
1658,1048177
1660,1048183
1661,1048185
1662,1048186
1663,1048187
1664,1048188
1665,1048189
1666,1048190
1667,1048193
1668,1048200
1669,1048201
1670,1048202
1671,1048205
1672,1048206
1673,1048209
1674,1048216
1675,1048219
1676,1048220
1677,1048221
1678,1048223
1679,1048224
1680,1048225
1681,1048226
1682,1048227
1683,1048228
1684,1048234
1685,1048238
1686,1048239
1687,1048240
1688,1048241
1689,1048245
1690,1048248
1691,1048249
1692,1048256
1693,1048257
1694,1048259
1695,1048260
1696,1048261
1697,1048262
1698,1048271
1699,1048272
1700,1048276
1701,1048277
1702,1048279
1703,1048280
1704,1048281
1705,1048282
1707,1048290
1708,1048293
1709,1048294
1710,1048300
1711,1048303
1712,1048306
1713,1048308
1714,1048309
1715,1048310
1716,1048311
1717,1048312
1718,1048313
1719,1048314
1720,1048315
1721,1048316
1722,1048322
1723,1048323
1724,1048324
1725,1048329
1726,1048330
1727,1048333
1728,1048338
1729,1048342
1730,1048345
1731,1048348
1732,1048355
1734,1048360
1735,1048365
1736,1048368
1737,1048372
1738,1048375
1739,1048376
1740,1048380
1741,1048381
1742,1048382
1743,1048384
1744,1048386
1745,1048387
1746,1048390
1747,1048392
1748,1048398
1749,1048402
1750,1048412
1751,1048413
1752,1048415
1753,1048420
1754,1048421
1755,1048426
1756,1048427
1757,1048428
1758,1048429
1759,1048430
1760,1048432
1761,1048433
1762,1048434
1763,1048437
1764,1048439
1765,1048440
1766,1048444
1767,1048446
1768,1048450
1769,1048455
1770,1048459
1771,1048462
1772,1048463
1773,1048469
1774,1048471
1775,1048472
1776,1048473
1777,1048475
1778,1048477
1779,1048483
1780,1048485
1781,1048489
1782,1048491
1783,1048492
1784,1048495
1785,1048496
1786,1048498
1787,1048500
1788,1048502
1789,1048504
1791,1048506
1792,1048507
1793,1048510
1794,1048512
1795,1048514
1796,1048516
1797,1048523
1798,1048524
1799,1048528
1800,1048530
1801,1048531
1802,1048532
1803,1048533
1804,1048537
