,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
5402,10006,SingleFamily-pre-1980,207.98703559633967,210.5114
5403,10007,SingleFamily-pre-1980,199.5711879147857,208.2818
5404,10008,SingleFamily-pre-1980,259.7947657742485,159.4164
5405,10009,SingleFamily-pre-1980,283.8861246736432,191.0024
5406,10010,SingleFamily-2004,387.14996241501217,409.9677
5407,10011,SingleFamily-pre-1980,289.1717501503306,182.3627
5408,10012,SingleFamily-pre-1980,173.70452438885113,119.0978
5409,10013,SingleFamily-pre-1980,292.5970772665536,251.0158
5410,10014,SingleFamily-pre-1980,261.895953500305,290.6841
5411,10015,SingleFamily-pre-1980,352.9363686923328,330.5382
5412,10016,SingleFamily-pre-1980,612.4758009333366,334.44
5413,10017,SingleFamily-pre-1980,336.5110003958082,323.4778
5414,10018,SingleFamily-pre-1980,255.4693606057471,261.1419
5415,10019,SingleFamily-pre-1980,249.58295523929385,258.0762
