,index,hgt_median_m,area,yrbuilt
356,356,9.21,2.5116886295916753e-08,1923
357,357,10.32,2.509750934470886e-08,1964
358,358,8.04,2.5051375606961053e-08,1976
359,359,3.18,2.5044189763751265e-08,1920
360,360,8.93,2.5015955861716316e-08,1927
361,361,7.13,2.500433966060202e-08,1920
362,362,6.66,1.8001787158586514e-08,1935
363,363,9.0,2.4954186184223104e-08,1923
364,364,7.47,2.4919397314839457e-08,1931
365,365,7.47,4.726892230639724e-09,1931
366,366,4.03,2.4919397314839457e-08,1931
367,367,4.03,4.726892230639724e-09,1931
368,368,12.71,2.488734212400062e-08,1926
369,369,11.69,2.4778872517744887e-08,1928
370,370,12.61,2.4777976482816844e-08,1961
371,371,13.12,2.4660325894438326e-08,1996
372,372,13.12,1.8113759291397153e-08,1996
373,373,13.95,2.4660325894438326e-08,1996
374,374,13.95,1.8113759291397153e-08,1996
375,375,9.74,2.4623034069749602e-08,1964
376,376,9.08,2.4594707647966896e-08,1922
377,377,9.08,5.71335088013013e-09,1922
378,378,6.62,2.4594707647966896e-08,1922
379,379,6.62,5.71335088013013e-09,1922
380,380,8.98,2.4581641671493088e-08,1955
381,381,9.59,2.4563113665067264e-08,1936
382,382,8.82,2.4503499720916774e-08,1987
383,383,8.97,2.446355669703721e-08,1964
384,384,9.14,2.4375167982071167e-08,1921
385,385,12.53,2.4366495924948133e-08,1936
386,386,8.35,2.433056332006107e-08,1925
387,387,8.27,2.4328087807248663e-08,1909
388,388,9.41,2.4277826597859606e-08,1902
389,389,6.98,2.4269834646779157e-08,1923
390,390,6.98,3.943425096039832e-09,1923
391,391,3.58,2.4269834646779157e-08,1923
392,392,3.58,3.943425096039832e-09,1923
393,393,5.98,2.4233386221296106e-08,1965
394,394,9.43,2.42160029671641e-08,1927
395,395,8.42,2.4123980901771934e-08,1924
396,396,6.25,2.411995591029285e-08,1938
397,397,9.99,2.4079165732777004e-08,1936
398,398,9.35,7.903429364888341e-10,1922
399,399,9.35,1.557295773146834e-08,1922
400,400,8.91,1.3490638507289341e-08,1911
401,401,10.92,2.403494821454391e-08,1974
402,402,8.94,2.395326527840595e-08,1921
403,403,8.33,2.3932360817096392e-08,1947
404,404,8.89,2.3922109385015017e-08,1924
405,405,8.72,2.3895357137098752e-08,1923
406,406,4.89,7.895107590225591e-10,1920
407,407,4.89,1.6970591758377356e-08,1920
408,408,8.65,7.895107590225591e-10,1920
409,409,8.65,1.6970591758377356e-08,1920
410,410,8.73,2.3861136762530487e-08,1969
411,411,9.26,2.38536393643157e-08,1926
412,412,7.47,2.3797299036353967e-08,1927
413,413,5.45,2.3783750164648686e-08,1900
414,414,9.57,2.376899051818407e-08,1908
415,415,9.31,2.3726967619405996e-08,1923
416,416,8.68,2.3671406001177847e-08,1921
417,417,6.53,2.3654470162353616e-08,1938
418,418,9.06,2.3636342365395578e-08,1964
419,419,8.73,2.3632856927234293e-08,1950
420,420,9.08,2.3632743197829546e-08,1970
421,421,8.84,2.3603378174492706e-08,1992
422,422,12.61,2.3579067186007268e-08,1926
423,423,9.77,2.3579761220174912e-08,1926
424,424,9.56,2.3575089326339113e-08,1926
425,425,3.91,2.3561675475347666e-08,1919
426,426,9.4,2.3544169314839092e-08,1981
427,427,8.87,2.350677373329632e-08,1921
428,428,8.02,2.3497016848908907e-08,1970
429,429,8.02,6.647114183652596e-09,1970
430,430,3.58,2.3497016848908907e-08,1970
431,431,3.58,6.647114183652596e-09,1970
432,432,6.97,2.348605627053674e-08,1933
433,433,9.01,1.7999503553852943e-08,1924
434,434,8.97,2.343423408650779e-08,1955
435,435,9.33,2.3430173085678138e-08,1963
436,436,9.27,2.3421517722988133e-08,1923
437,437,11.45,2.3419239858923284e-08,1982
438,438,8.49,2.3371709576183894e-08,1925
439,439,9.0,2.33573387706473e-08,1924
440,440,9.09,2.335701138603278e-08,1964
441,441,8.74,2.3343531816418146e-08,1927
442,442,9.49,2.332208250989031e-08,1962
443,443,8.65,2.3317579549630566e-08,1971
444,444,8.85,2.3222206360759386e-08,1967
445,445,8.85,1.9605373583235033e-08,1967
446,446,8.85,7.123449417192842e-09,1967
447,447,8.5,2.3222206360759386e-08,1967
448,448,8.5,1.9605373583235033e-08,1967
449,449,8.5,7.123449417192842e-09,1967
450,450,7.65,2.3222206360759386e-08,1967
451,451,7.65,1.9605373583235033e-08,1967
452,452,7.65,7.123449417192842e-09,1967
453,453,8.49,2.3209121570509633e-08,1920
454,454,9.82,2.3129248496527353e-08,1924
455,455,7.86,2.312027012892984e-08,1931
456,456,9.24,2.3116259358134113e-08,1927
457,457,9.4,2.308141893497103e-08,1963
458,458,6.57,2.308335614744646e-08,1911
459,459,7.8,2.3054505135816798e-08,1929
460,460,12.27,2.303284457812373e-08,1979
461,461,9.06,2.301736640601592e-08,1925
462,462,9.92,2.300521117413124e-08,1964
463,463,12.4,2.2989864210251927e-08,1927
464,464,8.79,2.2984141303247464e-08,1959
465,465,10.03,2.2972918582818023e-08,1930
466,466,8.87,2.2957400437023566e-08,1926
467,467,8.39,2.295233077903187e-08,1923
468,468,8.39,4.3355280625179575e-09,1923
469,469,3.69,2.295233077903187e-08,1923
470,470,3.69,4.3355280625179575e-09,1923
471,471,14.32,2.2941666916654024e-08,2007
472,472,14.32,2.23695269607112e-08,2007
473,473,13.45,2.2941666916654024e-08,2007
474,474,13.45,2.23695269607112e-08,2007
475,475,8.94,2.2937797665307046e-08,1964
476,476,8.9,2.2904026472453997e-08,1969
477,477,8.9,6.347111560820639e-10,1969
478,478,10.3,2.2889035145762037e-08,1984
479,479,10.3,7.859436370541382e-09,1984
480,480,8.43,2.2889035145762037e-08,1984
481,481,8.43,7.859436370541382e-09,1984
482,482,8.82,2.2865893052949796e-08,1960
483,483,12.59,1.8854633972604474e-08,1923
484,484,12.59,1.0279577061333361e-09,1923
485,485,9.33,2.2854395562883636e-08,1968
486,486,6.56,2.2838871656045426e-08,1926
487,487,9.37,2.281276560934603e-08,1961
488,488,6.08,2.280926346913436e-08,1934
489,489,12.53,2.275588758270895e-08,1986
490,490,12.98,2.2716893309555446e-08,1960
491,491,10.22,2.271348359779797e-08,1913
492,492,7.6,2.2710612302691783e-08,1948
493,493,13.08,2.2692385672865986e-08,1928
494,494,13.08,4.350889817844663e-09,1928
495,495,3.45,2.2692385672865986e-08,1928
496,496,3.45,4.350889817844663e-09,1928
497,497,12.16,2.2686340692817898e-08,1924
498,498,8.34,2.267906850296481e-08,1997
499,499,10.66,2.2663622298361988e-08,1962
500,500,4.86,2.264742826103784e-08,1914
501,501,4.86,6.1136896437886335e-09,1914
502,502,3.08,2.264742826103784e-08,1914
503,503,3.08,6.1136896437886335e-09,1914
504,504,9.36,2.261590612414559e-08,1966
505,505,9.37,2.2615571416825652e-08,1924
506,506,8.98,2.259590272084491e-08,1986
507,507,10.56,2.259438655224837e-08,1986
508,508,11.89,2.258561911559218e-08,1991
509,509,10.38,2.2586455246139252e-08,1931
510,510,9.35,2.256623690050171e-08,1965
511,511,10.21,2.2567918513187373e-08,1962
512,512,9.17,2.2538057193436436e-08,1920
513,513,9.04,2.2537778229524867e-08,1923
514,514,6.52,2.2462713879717628e-08,1921
515,515,12.1,2.246029057209937e-08,1965
516,516,12.26,2.2451032989861116e-08,1926
517,517,9.97,2.244713578708556e-08,1927
518,518,12.39,2.2389562689653044e-08,1925
519,519,6.65,2.2386396233105022e-08,1922
520,520,10.22,2.2360813447815907e-08,1910
521,521,11.56,2.2356539754398177e-08,1926
522,522,9.4,2.2345704276681832e-08,1968
523,523,10.15,2.2345691263881327e-08,1961
524,524,10.19,2.2341390111454395e-08,1930
525,525,8.48,2.2325637545611678e-08,1955
526,526,9.89,2.2321428153228068e-08,1930
527,527,12.32,2.2318206597914262e-08,0
528,528,11.88,2.2292816776769573e-08,1985
529,529,9.54,2.229098211885468e-08,1916
530,530,7.64,2.2272919933981893e-08,1926
531,531,12.4,2.2201776361849395e-08,1927
532,532,9.1,2.218278702549782e-08,1981
533,533,9.07,2.2176800333090723e-08,1932
534,534,9.1,2.217609120298162e-08,1925
535,535,7.99,2.2170862822748684e-08,1921
536,536,9.89,2.2169325686666406e-08,1912
537,537,9.89,4.561758387196012e-09,1912
538,538,4.82,2.2169325686666406e-08,1912
539,539,4.82,4.561758387196012e-09,1912
540,540,8.86,2.2133361988026637e-08,1919
541,541,9.18,2.2085751716183956e-08,1918
542,542,9.18,6.289901046593011e-09,1918
543,543,3.71,2.2085751716183956e-08,1918
544,544,3.71,6.289901046593011e-09,1918
545,545,9.24,2.2085631493161006e-08,1924
546,546,8.89,2.207407473918065e-08,1923
547,547,7.57,2.2060408856228474e-08,1929
548,548,7.57,5.0027415377263906e-09,1929
