,label,index,OBJECTID,vintage,idf.kw,FootprintArea.m2,building.area.m2,HEIGHT
12358,1,8520,8520,before 1980,SingleFamily-pre-1980,218.71732313003025,151.2412,12.1
12359,0,8521,8521,before 1980,SingleFamily-pre-1980,170.08633455202363,99.3101,14.16
12360,1,8523,8523,before 1980,SingleFamily-pre-1980,266.8482332720708,304.8978,20.34
12361,4,8524,8524,before 1980,SingleFamily-pre-1980,289.9296697838109,240.0536,13.16
12362,0,8525,8525,before 1980,SingleFamily-pre-1980,336.7270093754717,373.5509,19.12
12363,2,8527,8527,before 1980,SingleFamily-pre-1980,253.18710242399592,195.09,16.0
12364,0,8528,8528,before 1980,SingleFamily-pre-1980,267.1461887626707,201.4072,15.89
12365,2,8529,8529,1981-2008 (2004),SingleFamily-2004,305.3633346076559,262.6283,19.79
12366,4,8530,8530,before 1980,SingleFamily-pre-1980,250.56945810207705,223.9819,20.39
12367,0,8531,8531,before 1980,SingleFamily-pre-1980,277.72921388444206,312.5156,26.6
12368,3,8532,8532,1981-2008 (2004),SingleFamily-2004,565.368350089656,503.0535,24.22
12369,3,8533,8533,before 1980,SingleFamily-pre-1980,222.7800506840657,141.9512,14.73
12370,0,8534,8534,1981-2008 (2004),SingleFamily-2004,273.4404497762572,322.363,30.8
12371,4,8535,8535,1981-2008 (2004),SingleFamily-2004,276.8155899721191,322.363,30.97
12372,2,8537,8537,1981-2008 (2004),SingleFamily-2004,435.5350056873867,564.0888,24.47
12373,2,8538,8538,1981-2008 (2004),SingleFamily-2004,437.6549886240938,467.4728,28.98
12374,0,8539,8539,before 1980,SingleFamily-pre-1980,314.299128260739,152.356,22.32
12375,1,8540,8540,before 1980,SingleFamily-pre-1980,383.416099151918,196.2977,14.44
12376,0,8542,8542,1981-2008 (2004),SingleFamily-2004,218.06939955026624,246.6495,26.14
12377,0,8544,8544,before 1980,SingleFamily-pre-1980,205.16604006339105,140.6506,18.12
12378,0,8545,8545,before 1980,SingleFamily-pre-1980,219.46291663079867,156.8152,13.88
12379,3,8546,8546,before 1980,SingleFamily-pre-1980,246.13454593489016,193.4178,28.28
12380,3,8547,8547,before 1980,SingleFamily-pre-1980,188.16611347951223,115.7534,14.48
12381,4,8550,8550,before 1980,SingleFamily-pre-1980,182.95827112250984,115.7534,16.34
12382,3,8557,8557,1981-2008 (2004),SingleFamily-2004,593.8197887351306,688.1103,27.83
12383,3,8558,8558,1981-2008 (2004),SingleFamily-2004,245.12031771502788,227.3263,26.47
12384,3,8559,8559,1981-2008 (2004),SingleFamily-2004,415.22225624255503,263.5573,17.47
12385,3,8560,8560,1981-2008 (2004),SingleFamily-2004,359.86292814743445,431.5205,25.3
12386,4,8561,8561,1981-2008 (2004),SingleFamily-2004,383.2276804156471,361.381,21.79
12387,0,8562,8562,1981-2008 (2004),SingleFamily-2004,469.8839542414912,481.7794,24.94
12388,3,8563,8563,before 1980,SingleFamily-pre-1980,264.4609311482401,116.125,13.8
12389,3,8564,8564,1981-2008 (2004),SingleFamily-2004,209.87169806609376,215.8067,23.59
12390,0,8565,8565,1981-2008 (2004),SingleFamily-2004,214.8425580168628,215.8067,22.89
12391,3,8568,8568,before 1980,SingleFamily-pre-1980,200.9997279771984,108.9717,16.92
12392,3,8569,8569,before 1980,SingleFamily-pre-1980,202.9815967692859,137.2133,16.14
12393,3,8570,8570,before 1980,SingleFamily-pre-1980,201.0151317712549,172.7011,20.79
12394,1,8571,8571,before 1980,SingleFamily-pre-1980,169.65078956731531,106.2776,15.83
12395,3,8572,8572,before 1980,SingleFamily-pre-1980,181.8610195501004,112.7806,15.58
12396,3,8573,8573,before 1980,SingleFamily-pre-1980,148.2165571440638,121.2345,13.8
12397,3,8576,8576,1981-2008 (2004),SingleFamily-2004,401.733983803994,304.6191,15.89
12398,3,8577,8577,before 1980,SingleFamily-pre-1980,231.4506180589408,213.3913,19.48
12399,3,8578,8578,before 1980,SingleFamily-pre-1980,200.6568094167185,280.2793,29.03
12400,3,8579,8579,before 1980,SingleFamily-pre-1980,352.1124316678681,387.8575,21.89
12401,2,858,858,before 1980,SingleFamily-pre-1980,97.78901031585556,108.693,13.06
12402,0,8580,8580,1981-2008 (2004),SingleFamily-2004,732.002021043728,823.9301,30.44
12403,3,8581,8581,1981-2008 (2004),SingleFamily-2004,431.0872386601448,364.0751,22.71
12404,3,8584,8584,before 1980,SingleFamily-pre-1980,501.6135336989721,329.795,13.26
12405,3,8586,8586,before 1980,SingleFamily-pre-1980,243.43609624185896,153.6566,14.03
12406,3,8587,8587,before 1980,SingleFamily-pre-1980,256.6231783461467,231.321,20.19
12407,3,8588,8588,before 1980,SingleFamily-pre-1980,236.9223595650323,246.0921,15.23
12408,1,859,859,before 1980,MultiFamily-pre-1980,85.45419001789028,95.5012,20.9
12409,3,8590,8590,before 1980,SingleFamily-pre-1980,448.1419508474249,232.3429,17.1
12410,3,8591,8591,before 1980,SingleFamily-pre-1980,297.1508335733773,335.5548,25.92
12411,3,8596,8596,before 1980,SingleFamily-pre-1980,591.2093439714918,277.9568,15.84
12412,2,860,860,before 1980,SingleFamily-pre-1980,77.02609820856708,81.2875,12.1
12413,3,8607,8607,before 1980,SingleFamily-pre-1980,934.8328582592686,516.1524,18.94
12414,3,8608,8608,before 1980,SingleFamily-pre-1980,306.7622301941748,151.7057,13.04
12415,3,8609,8609,before 1980,SingleFamily-pre-1980,496.4605364432681,276.0059,16.81
12416,3,8616,8616,1981-2008 (2004),SingleFamily-2004,287.59113668299017,347.446,27.75
12417,3,8617,8617,1981-2008 (2004),SingleFamily-2004,344.9685156573444,394.2676,29.33
12418,3,8618,8618,1981-2008 (2004),SingleFamily-2004,404.8187020049903,396.2185,28.97
12419,3,8619,8619,1981-2008 (2004),SingleFamily-2004,367.40230346881134,361.381,29.96
12420,3,8620,8620,1981-2008 (2004),SingleFamily-2004,337.3814840656087,426.9684,21.47
12421,3,8621,8621,before 1980,SingleFamily-pre-1980,264.8622842983083,159.3235,10.07
12422,3,8625,8625,before 1980,SingleFamily-pre-1980,165.5287288244282,133.3115,13.6
12423,0,8627,8627,before 1980,SingleFamily-pre-1980,182.2376303117481,112.7806,19.4
12424,3,8632,8632,before 1980,SingleFamily-pre-1980,200.45943805405844,130.989,15.3
12425,0,8635,8635,before 1980,SingleFamily-pre-1980,289.9880867504194,186.5432,22.77
12426,3,8636,8636,before 1980,SingleFamily-pre-1980,190.8264687380533,181.5266,22.01
12427,3,8637,8637,1981-2008 (2004),SingleFamily-2004,239.3797678222869,319.0186,25.77
12428,3,8639,8639,before 1980,SingleFamily-pre-1980,249.6612027457996,170.7502,13.38
12429,4,8642,8642,before 1980,SingleFamily-pre-1980,445.147486235911,375.7805,15.02
12430,1,8644,8644,1981-2008 (2004),SingleFamily-2004,470.7585430378651,391.6664,24.01
12431,1,8645,8645,before 1980,SingleFamily-pre-1980,369.9228061998385,241.9116,16.22
