category,consumption,Category1,epw
SingleFamily-pre-1980____54,110922813376.91602,SingleFamily-pre-1980,54
SingleFamily-pre-1980____55,118150033274.53897,SingleFamily-pre-1980,55
SingleFamily-pre-1980____62,98254358464.97821,SingleFamily-pre-1980,62
SingleFamily-pre-1980____63,90425699901.43668,SingleFamily-pre-1980,63
SingleFamily-pre-1980____64,84822447436.46616,SingleFamily-pre-1980,64
SingleFamily-pre-1980____65,87081052835.47067,SingleFamily-pre-1980,65
SingleFamily-pre-1980____66,96005896617.86539,SingleFamily-pre-1980,66
SingleFamily-pre-1980____67,110644862221.28317,SingleFamily-pre-1980,67
SingleFamily-pre-1980____68,122388837211.09909,SingleFamily-pre-1980,68
SingleFamily-pre-1980____69,130743978715.01328,SingleFamily-pre-1980,69
SingleFamily-pre-1980____76,92496795898.72446,SingleFamily-pre-1980,76
SingleFamily-pre-1980____77,89583524726.60237,SingleFamily-pre-1980,77
SingleFamily-pre-1980____78,89678935707.0747,SingleFamily-pre-1980,78
SingleFamily-pre-1980____79,88917105228.40729,SingleFamily-pre-1980,79
SingleFamily-pre-1980____80,109649004594.87845,SingleFamily-pre-1980,80
SingleFamily-pre-1980____82,134090013689.68503,SingleFamily-pre-1980,82
SingleFamily-pre-1980____83,134102968085.13858,SingleFamily-pre-1980,83
SingleFamily-pre-1980____9,78935239061.80513,SingleFamily-pre-1980,9
SingleFamily-pre-1980____91,96536323997.9571,SingleFamily-pre-1980,91
SingleFamily-pre-1980____92,89029488620.03265,SingleFamily-pre-1980,92
SingleFamily-pre-1980____93,94425368354.86469,SingleFamily-pre-1980,93
SingleFamily-pre-1980____96,136674656467.35516,SingleFamily-pre-1980,96
SingleFamily-pre-1980____97,139435155993.82776,SingleFamily-pre-1980,97
